Info about passwords of nurses:
| Name          | ID      | Password | Role  | Center Name                    |
| ------------- | ------- | -------- | ----- | ------------------------------ |
| Tom Murphy    | 2378651 | tom212   | Staff | Parkville Manor                |
| Robert Blue   | 3127901 | rob107   | Admin | Parkville Manor                |
| Sarah Love    | 4712902 | lov298   | Admin | Erindale Health Center         |
| Mary Andrews  | 3701291 | dre432   | Staff | Erindale Health Center         |
| John Adams    | 4720943 | jon764   | Admin | Kenderdine Medical Clinic      |
| Layla Tomkins | 8462192 | lay291   | Staff | Kenderdine Medical Clinic      |
| Ifejesu Salam | 2001745 | Ify201   | Staff | Jim Pattison Children Hospital |
| Thomas Vernon | 4101735 | tom219   | Admin | Jim Pattison Children Hospital |
| Jessica Nia   | 1285723 | nia112   | Admin | Evergreen Medical Clinic       |
| Adrea James   | 1095422 | dre139   | Staff | Evergreen Medical Clinic       |
